Order Date,Order Priority,Ship Type,City,State,Country,Region,Segment,Super Category,Category,Price,Operational/ Production Cost,Selling Price,Discount,Shipping Cost,Sales (shipping price included),Profit,Quantity
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,1205,866.2941176,870.2941176,334.7058824,-1,869.2941176,4,1
02-01-2015,Moderate,Named Day,Yingcheng,Hubei,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,528.2352941,320.8235294,323.8235294,204.4117647,1,324.8235294,3,1
02-01-2015,Moderate,Named Day,Chongqing,Chongqing,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,215.6862745,142.0980392,145.0980392,70.58823529,0,145.0980392,3,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,528.2352941,318.8235294,323.8235294,204.4117647,0,323.8235294,5,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,137.4509804,71.37254902,76.37254902,61.07843137,1,77.37254902,5,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,178.4313725,116.6078431,119.6078431,58.82352941,1,120.6078431,3,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",216.8627451,154.8431373,172.8431373,44.01960784,1,173.8431373,18,1
02-01-2015,Moderate,Named Day,Yingcheng,Hubei,China,North Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",122.254902,81.94117647,97.94117647,24.31372549,0,97.94117647,16,1
02-01-2015,Moderate,Named Day,Chongqing,Chongqing,China,North Asia,Retail,Automotive , Car Accessories ,100.5882353,35.82352941,53.82352941,46.76470588,-1,52.82352941,18,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Pet Supplies , Grooming ,42.15686275,16.56862745,21.56862745,20.58823529,1,22.56862745,5,1
02-01-2015,Moderate,Named Day,Yingcheng,Hubei,China,North Asia,Retail,Furniture , Living Room Furniture ,5372.843137,3148.647059,3152.647059,2220.196078,-1,3151.647059,4,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Jewellery , Necklaces & Chains ,85.58823529,45.62745098,63.62745098,21.96078431,2,65.62745098,18,1
02-01-2015,Moderate,Named Day,Yingcheng,Hubei,China,North Asia,Retail,Jewellery , Necklaces & Chains ,107.6470588,65.33333333,78.33333333,29.31372549,2,80.33333333,13,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Jewellery , Necklaces & Chains ,91.96078431,55.52941176,68.52941176,23.43137255,1,69.52941176,13,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Jewellery , Necklaces & Chains ,67.15686275,20.74509804,37.74509804,29.41176471,1,38.74509804,17,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Jewellery , Necklaces & Chains ,86.07843137,34.01960784,49.01960784,37.05882353,0,49.01960784,15,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,135.0980392,,97.94117647,37.15686275,0,97.94117647,3,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,94.70588235,,68.52941176,26.17647059,2,70.52941176,1,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,164.5098039,,117.5490196,46.96078431,2,119.5490196,3,1
02-01-2015,Moderate,Named Day,Chongqing,Chongqing,China,North Asia,Retail,Clothing , Women's Clothing ,137.1568627,,98.03921569,39.11764706,-1,97.03921569,3,1
